geometry_type,surface_area,volume,frontal_area,length,width,height,rear_wing_angle,slant_angle,velocity,reynolds,drag,lift
sphere,7.653,1.111,2.194,0.512,0.867,0.943,0.0,0.0,35.51,1199282,0.09763,-0.00525
wedge,3.566,0.609,0.604,2.419,1.413,0.365,0.0,47.2,25.08,4001881,0.77047,0.28573
airfoil,2.013,0.248,0.095,1.992,1.194,0.212,0.0,6.0,66.32,8714343,0.00936,0.66029
truck,39.326,44.445,7.108,10.128,2.496,3.612,0.0,4.4,34.54,23075272,0.67515,0.05936
sphere,9.98,0.795,2.854,0.899,0.224,1.277,0.0,0.0,49.67,2945470,0.10023,-0.00866
fsae,6.155,1.114,1.379,3.278,1.68,1.161,24.2,1.6,32.02,6923586,0.88093,-2.4153
cylinder,6.336,2.816,0.617,0.77,0.652,0.948,0.0,0.0,46.46,2359776,0.30096,0.00353
fsae,7.999,1.461,1.445,3.24,1.552,1.06,29.4,1.6,17.38,3714459,0.94885,-2.63848
fsae,7.219,1.452,1.396,3.222,1.641,1.036,42.2,0.6,21.45,4558832,1.04909,-3.16117
suv,16.681,6.703,3.127,5.02,1.962,1.642,2.9,6.9,41.35,13692414,0.3729,0.18553
wedge,4.302,0.633,0.687,0.804,0.814,0.305,0.0,56.3,44.18,2343055,0.85534,0.31545
ahmed_body,4.226,0.633,0.095,0.966,0.41,0.319,0.0,34.5,20.13,1282690,0.32769,0.12539
sphere,6.849,0.7,0.861,1.482,0.412,0.606,0.0,0.0,19.54,1910177,0.09853,-0.00557
flat_plate,0.583,0.04,0.382,0.039,1.368,1.017,0.0,0.0,14.87,38254,1.21492,-0.00568
sedan,9.809,4.052,1.879,4.309,1.79,1.428,2.0,11.2,40.4,11483087,0.26668,0.19344
sedan,8.361,3.851,1.992,4.99,1.656,1.46,4.6,14.7,23.35,7685785,0.25016,0.16483
cylinder,5.016,2.767,1.449,2.312,0.343,0.796,0.0,0.0,48.2,7350818,0.3016,-0.03208
airfoil,1.98,0.118,0.177,1.433,1.631,0.139,0.0,7.8,66.58,6293479,0.01241,0.89132
suv,13.376,4.639,3.011,5.143,1.809,1.795,1.2,7.5,42.61,14455358,0.36871,0.19509
ahmed_body,3.924,0.863,0.108,0.995,0.402,0.276,0.0,9.6,42.12,2764472,0.26643,0.06195
suv,17.326,6.856,2.85,4.451,1.801,1.899,0.2,0.7,39.76,11673599,0.35775,0.19913
suv,17.842,5.358,2.927,4.876,1.889,1.784,1.0,1.2,20.96,6741488,0.37929,0.13049
suv,17.736,4.329,2.764,4.466,1.908,1.842,1.4,6.4,42.31,12464146,0.38007,0.18737
suv,13.651,4.14,2.793,4.648,1.979,1.735,1.8,6.7,22.01,6748185,0.36757,0.14252
wedge,5.044,1.897,0.591,1.142,0.453,0.822,0.0,33.6,44.5,3352177,0.64261,0.21094
fsae,5.735,1.184,1.489,3.969,1.386,1.046,44.3,2.7,15.71,4112994,0.99203,-3.13122
wedge,1.563,0.714,1.237,0.915,1.393,0.346,0.0,48.7,36.55,2206019,0.78413,0.31514
sphere,10.214,3.867,0.223,0.925,1.177,0.153,0.0,0.0,28.4,1732850,0.09981,0.00571
fsae,7.106,0.949,1.236,3.472,1.607,1.119,19.6,3.8,19.04,4360612,0.89208,-2.19745
ahmed_body,4.135,0.944,0.101,1.04,0.363,0.26,0.0,28.9,22.44,1539420,0.31416,0.10371
fsae,5.795,1.288,1.568,4.015,1.586,1.035,31.4,0.3,34.93,9250920,0.9379,-2.6538
fsae,7.645,0.804,1.504,4.066,1.651,1.186,17.4,1.2,27.16,7284470,0.88918,-2.17217
suv,17.858,5.434,3.036,4.533,2.093,1.819,2.1,9.2,30.35,9074970,0.38,0.1596
airfoil,1.505,0.245,0.081,0.973,1.954,0.061,0.0,3.4,67.9,4357962,0.00703,0.40314
sphere,6.921,3.298,1.991,1.162,0.761,0.295,0.0,0.0,14.89,1141305,0.10019,-0.011
cylinder,7.046,2.366,1.087,2.595,0.226,0.496,0.0,0.0,38.4,6573087,0.2917,0.00565
sedan,11.952,3.034,2.112,4.907,1.742,1.479,0.8,17.0,32.19,10419283,0.2402,0.18017
ahmed_body,4.511,0.825,0.099,1.059,0.415,0.282,0.0,27.8,37.1,2591616,0.31964,0.09784
flat_plate,1.667,0.023,1.925,0.046,1.348,0.779,0.0,0.0,6.73,20421,1.2012,0.00409
suv,16.912,5.251,2.893,5.05,1.833,1.751,0.7,1.7,23.35,7778199,0.36587,0.13012
cylinder,1.113,2.992,0.228,2.74,0.393,0.786,0.0,0.0,7.33,1324815,0.3064,-0.03368
cylinder,5.033,0.894,1.64,0.843,0.44,0.419,0.0,0.0,21.8,1212230,0.30677,-0.01881
wedge,1.048,1.291,0.959,1.507,0.962,0.835,0.0,37.7,19.09,1897667,0.67141,0.24855
fsae,5.995,1.572,1.419,3.569,1.624,1.258,40.4,1.9,22.39,5271102,0.95541,-3.00988
sedan,11.264,3.906,2.189,4.696,1.634,1.358,1.0,18.0,35.07,10863372,0.24708,0.21561
suv,12.541,5.906,2.887,4.697,2.045,1.751,0.2,4.0,33.49,10376156,0.37528,0.17044
sedan,8.902,2.934,2.367,4.725,1.647,1.41,2.1,19.2,23.75,7402292,0.29269,0.1731
wedge,2.538,1.523,0.489,1.713,1.168,0.883,0.0,49.0,47.95,5418097,0.79133,0.28901
suv,16.757,6.678,3.025,5.104,1.915,1.836,0.5,5.8,39.0,13130343,0.37449,0.18675
suv,13.979,5.519,3.148,4.319,1.803,1.768,0.7,2.7,30.31,8635151,0.35665,0.1569
wedge,2.126,1.342,1.152,0.929,1.337,0.727,0.0,40.9,10.83,663659,0.71672,0.25043
sphere,6.793,1.787,2.451,0.935,0.167,0.502,0.0,0.0,10.58,652526,0.09781,-0.00588
wedge,3.624,0.378,1.035,1.926,0.57,0.402,0.0,41.9,34.11,4333500,0.71381,0.2551
ahmed_body,4.086,0.73,0.08,1.148,0.386,0.29,0.0,26.5,24.67,1868150,0.30275,0.10834
cylinder,3.791,1.342,0.678,1.146,0.855,0.362,0.0,0.0,11.94,902588,0.30947,0.00861
flat_plate,5.094,0.034,2.764,0.038,0.637,1.884,0.0,0.0,18.44,46222,1.22452,0.00238
sphere,3.051,4.684,1.159,1.415,0.951,1.266,0.0,0.0,41.1,3836181,0.09996,0.00076
sedan,10.082,4.111,1.99,4.996,1.632,1.454,2.7,14.6,26.78,8825388,0.25542,0.16146
ahmed_body,4.833,0.985,0.092,1.112,0.354,0.26,0.0,22.8,53.97,3958749,0.28632,0.09841
wedge,1.129,0.435,0.331,1.954,0.704,0.992,0.0,30.9,49.07,6324722,0.60578,0.19788
fsae,7.671,1.304,1.042,4.215,1.608,1.021,28.5,4.6,46.83,13020346,0.94498,-2.65227
suv,13.754,5.357,2.757,4.434,2.074,1.751,2.6,9.7,33.07,9672321,0.37185,0.15566
flat_plate,1.01,0.014,1.82,0.04,0.785,1.632,0.0,0.0,38.44,101425,1.22943,0.0032
airfoil,1.432,0.364,0.055,1.997,1.017,0.102,0.0,2.0,65.03,8566287,0.00611,0.21283
sedan,12.907,2.904,2.251,4.133,1.887,1.413,3.0,19.1,22.38,6101355,0.29454,0.17825
flat_plate,2.309,0.019,1.837,0.034,1.82,1.559,0.0,0.0,18.42,41311,1.19902,-0.00603
fsae,7.699,1.503,1.246,4.245,1.464,1.008,33.3,2.4,49.41,13835452,0.93084,-2.68285
airfoil,3.388,0.315,0.1,0.595,0.663,0.139,0.0,3.5,39.28,1541662,0.00725,0.37361
ahmed_body,4.389,0.641,0.09,0.975,0.37,0.319,0.0,29.3,33.55,2157734,0.30853,0.10164
sedan,12.88,2.827,1.927,4.322,1.789,1.337,3.2,12.1,39.63,11298210,0.25157,0.20755
sedan,12.463,2.856,2.061,4.439,1.641,1.487,2.6,10.9,28.32,8292380,0.26452,0.15124
sphere,10.773,4.512,2.786,0.93,0.681,0.825,0.0,0.0,7.57,464387,0.1639,-0.00358
sphere,9.039,4.161,2.233,1.371,0.958,1.27,0.0,0.0,24.13,2182205,0.09864,0.01421
fsae,8.173,1.088,1.116,4.382,1.538,1.119,22.0,5.0,49.02,14169237,0.86816,-2.37291
fsae,6.19,1.367,1.402,4.124,1.667,1.186,18.9,0.5,45.18,12290391,0.86344,-2.19354
airfoil,2.304,0.439,0.186,1.834,0.618,0.033,0.0,2.7,65.69,7946930,0.00676,0.28685
sedan,11.595,4.302,1.861,4.924,1.637,1.343,4.7,14.0,43.68,14187356,0.25537,0.23725
ahmed_body,4.108,0.956,0.097,0.925,0.415,0.308,0.0,14.8,46.59,2842728,0.26835,0.05447
fsae,6.59,1.218,1.249,3.608,1.34,1.049,32.4,4.7,24.87,5918929,0.966,-2.78051
sedan,10.534,2.739,1.87,4.265,1.785,1.443,4.3,19.6,45.21,12719040,0.30176,0.26951
flat_plate,4.969,0.035,2.82,0.044,1.735,0.922,0.0,0.0,23.43,68003,1.23742,0.00905
sphere,4.835,4.365,1.12,0.753,0.644,1.241,0.0,0.0,28.76,1428515,0.09738,-0.01105
sphere,5.218,2.994,2.739,1.486,1.409,0.582,0.0,0.0,28.6,2803404,0.09938,0.00052
airfoil,3.213,0.214,0.079,1.987,0.316,0.148,0.0,0.3,49.76,6521974,0.00571,0.0401
fsae,7.905,1.016,1.455,4.326,1.665,1.293,35.4,1.8,40.12,11448491,0.9527,-2.95429
sedan,9.977,2.922,1.915,4.907,1.735,1.399,2.7,11.5,48.07,15559333,0.25724,0.22645
suv,17.034,6.226,2.938,4.452,2.095,1.66,0.3,7.0,29.52,8669066,0.38198,0.14656
ahmed_body,4.492,0.797,0.084,0.942,0.375,0.315,0.0,11.6,23.46,1457739,0.27741,0.05564
sedan,12.195,3.265,1.907,4.106,1.783,1.346,0.0,17.2,44.15,11957777,0.23737,0.23888
cylinder,3.179,1.338,1.312,2.692,0.579,0.826,0.0,0.0,21.43,3805380,0.30231,-0.00087
ahmed_body,3.563,0.672,0.083,1.086,0.415,0.283,0.0,30.5,46.51,3331785,0.31549,0.11383
cylinder,7.301,2.424,1.896,0.508,0.396,0.368,0.0,0.0,27.7,928206,0.29929,-0.00611
flat_plate,5.377,0.005,1.979,0.021,1.458,0.742,0.0,0.0,10.46,14489,1.26172,0.00647
suv,13.707,5.066,2.677,5.117,2.043,1.868,2.2,9.0,43.08,14540921,0.36081,0.19891
sphere,2.878,2.246,0.991,0.77,1.214,0.266,0.0,0.0,44.58,2264288,0.09684,-0.00731
fsae,7.384,1.27,1.188,4.468,1.591,1.193,40.7,3.6,16.01,4718515,0.99051,-3.14458
airfoil,3.355,0.125,0.13,1.145,1.048,0.234,0.0,1.4,31.02,2342869,0.00608,0.14675
wedge,4.03,0.538,0.884,2.211,0.743,0.441,0.0,12.7,14.35,2092866,0.42052,0.10654
ahmed_body,4.171,0.819,0.095,1.031,0.406,0.307,0.0,34.2,34.46,2343553,0.33569,0.1031
suv,13.188,4.523,2.514,4.403,1.958,1.716,1.5,5.1,34.64,10060681,0.37889,0.15833
suv,17.964,6.752,2.831,4.847,1.872,1.696,0.7,7.8,23.21,7420770,0.37739,0.13595
suv,13.844,6.027,3.092,4.568,2.008,1.683,0.6,1.2,28.79,8674982,0.37545,0.14376
sphere,8.892,2.163,2.649,0.825,0.731,0.324,0.0,0.0,34.88,1898153,0.09695,-0.00779
fsae,6.402,1.429,1.115,3.993,1.659,1.055,23.4,5.0,36.79,9690137,0.85517,-2.39192
suv,14.55,5.117,2.858,4.507,1.942,1.623,1.5,0.5,37.33,11098042,0.35062,0.16113
wedge,5.472,0.333,0.423,0.743,1.172,0.373,0.0,51.5,18.49,906205,0.81173,0.30966
sedan,9.403,3.048,2.002,4.526,1.772,1.424,3.5,13.0,48.85,14584109,0.25811,0.23194
cylinder,6.32,1.205,0.844,1.971,0.644,0.769,0.0,0.0,31.33,4073313,0.29841,0.01213
cylinder,4.644,1.572,1.686,2.65,0.836,0.821,0.0,0.0,8.06,1408905,0.30375,0.01585
truck,53.662,23.789,7.633,8.38,2.535,3.791,0.0,2.6,33.43,18479116,0.72088,0.09151
suv,17.504,4.605,3.179,5.123,1.884,1.841,2.4,1.3,42.46,14348455,0.38525,0.18759
wedge,3.125,0.379,1.311,2.273,1.487,0.948,0.0,59.7,49.19,7375255,0.85571,0.35187
truck,42.509,36.256,8.602,9.329,2.524,3.762,0.0,4.9,27.08,16664203,0.72959,0.10075
wedge,4.934,0.221,1.138,1.203,1.427,0.274,0.0,17.0,22.64,1796565,0.47748,0.13668
ahmed_body,4.373,0.932,0.087,1.001,0.361,0.32,0.0,24.6,28.19,1861358,0.28938,0.10548
sedan,8.928,2.681,1.808,4.316,1.76,1.339,1.1,17.5,27.68,7880401,0.2443,0.17464
sphere,11.61,3.154,1.354,0.622,0.281,0.784,0.0,0.0,35.07,1438888,0.0995,-0.02985
cylinder,1.795,0.656,0.198,2.788,0.724,0.633,0.0,0.0,24.95,4588430,0.30815,0.00201
cylinder,4.757,0.242,1.594,2.545,0.909,0.994,0.0,0.0,48.23,8096659,0.28818,-0.00521
sphere,7.552,3.296,0.483,1.201,0.859,0.477,0.0,0.0,44.91,3557844,0.09938,-0.00297
truck,47.5,31.998,6.151,11.517,2.529,3.881,0.0,1.8,27.18,20648553,0.68872,0.05664
ahmed_body,4.386,0.617,0.104,0.947,0.418,0.286,0.0,6.7,50.18,3134595,0.26275,0.04205
truck,32.686,23.961,8.171,12.196,2.449,4.168,0.0,1.6,29.04,23362259,0.64946,0.10533
fsae,6.915,0.92,1.332,3.668,1.587,1.077,19.6,2.8,31.56,7636021,0.87591,-2.20093
airfoil,2.148,0.109,0.066,1.719,1.482,0.06,0.0,5.2,60.99,6915687,0.00867,0.58746
suv,14.63,4.713,2.79,4.442,1.815,1.63,0.0,4.1,35.9,10518984,0.37962,0.15236
airfoil,1.051,0.404,0.076,1.938,1.491,0.07,0.0,11.4,78.43,10026210,0.03628,1.33779
cylinder,2.001,0.392,0.26,0.803,0.404,0.572,0.0,0.0,13.14,696004,0.2957,0.01086
fsae,7.027,1.166,1.191,3.947,1.465,1.25,18.8,1.4,20.8,5415409,0.92097,-2.29677
sedan,8.288,3.174,2.011,4.849,1.743,1.339,3.4,18.2,40.33,12899747,0.28484,0.24119
truck,35.417,28.962,9.315,15.778,2.485,4.039,0.0,1.4,24.61,25613231,0.73582,0.09162
fsae,7.119,1.534,1.183,4.459,1.572,1.249,20.2,4.2,29.11,8562104,0.86597,-2.16681
wedge,2.89,1.756,0.224,1.247,1.182,0.807,0.0,12.9,11.42,939363,0.42653,0.11337
fsae,6.615,1.192,1.585,4.071,1.586,1.229,42.5,3.1,49.47,13284457,1.03537,-3.366
fsae,7.211,1.574,1.421,4.461,1.482,1.245,25.1,0.8,25.05,7371243,0.92532,-2.52212
sedan,12.99,4.179,1.876,4.307,1.633,1.414,4.0,19.3,40.14,11403891,0.30375,0.23113
suv,14.409,6.36,3.066,4.593,2.078,1.682,1.2,4.5,28.21,8546737,0.37501,0.15009
airfoil,3.266,0.342,0.1,1.301,0.682,0.032,0.0,0.8,46.84,4019712,0.00605,0.10246
fsae,6.388,0.936,1.215,4.452,1.637,1.055,19.6,1.2,32.01,9400298,0.86624,-2.33258
wedge,2.424,0.58,0.283,2.479,0.988,0.778,0.0,11.1,16.23,2653969,0.42106,0.10799
sedan,8.672,3.788,2.181,4.21,1.889,1.444,0.6,11.9,30.41,8444993,0.25403,0.15232
sphere,8.292,3.218,2.585,1.374,1.474,0.663,0.0,0.0,45.24,4100248,0.09455,-0.00257
airfoil,3.92,0.325,0.04,1.762,0.571,0.179,0.0,11.9,23.48,2729008,0.04616,1.31134
sedan,12.562,3.512,2.027,4.314,1.767,1.381,3.3,17.9,36.18,10295549,0.24676,0.19955
fsae,8.347,0.841,1.488,3.606,1.528,1.101,34.7,4.9,48.04,11426929,0.96027,-2.99707
suv,12.72,6.169,2.82,4.351,2.045,1.889,2.7,6.8,39.5,11336708,0.36871,0.18383
sedan,10.068,2.678,2.095,4.2,1.614,1.428,4.5,18.4,45.63,12641557,0.28953,0.25829
ahmed_body,3.664,0.887,0.084,1.184,0.405,0.253,0.0,9.4,58.24,4548559,0.2734,0.04655
wedge,1.473,1.563,1.064,1.535,0.439,0.745,0.0,53.2,36.41,3686633,0.80864,0.3239
sedan,8.381,2.653,2.315,4.597,1.877,1.38,1.9,13.4,38.1,11553146,0.25926,0.17988
sedan,8.958,2.809,2.158,4.094,1.788,1.368,4.5,11.0,41.64,11244997,0.26338,0.19145
ahmed_body,4.574,0.94,0.107,1.053,0.361,0.26,0.0,20.0,49.92,3467398,0.27916,0.0889
flat_plate,1.882,0.01,2.417,0.029,1.351,1.093,0.0,0.0,15.31,29287,1.24635,0.00031
fsae,7.348,1.506,1.132,3.93,1.347,1.085,34.4,3.4,40.56,10514565,0.94276,-2.68792
cylinder,2.184,1.708,0.74,1.142,0.754,0.735,0.0,0.0,8.5,640303,0.30968,-0.00028
sedan,11.298,2.664,1.964,4.554,1.621,1.439,0.7,11.6,35.06,10531876,0.25991,0.17322
cylinder,2.345,2.105,0.833,1.844,0.203,0.234,0.0,0.0,15.24,1853731,0.30367,0.00185
sedan,11.321,3.652,1.931,4.841,1.825,1.349,0.9,10.2,42.95,13715102,0.26202,0.20824
wedge,4.387,1.892,0.558,1.261,0.938,0.771,0.0,41.5,26.28,2185955,0.70107,0.27045
sedan,12.566,3.053,2.288,4.398,1.676,1.306,2.3,14.6,25.42,7374483,0.24901,0.16547
sedan,9.852,3.548,1.92,4.658,1.814,1.455,1.2,19.3,21.59,6633656,0.29812,0.16873
wedge,5.844,0.27,1.417,1.69,0.352,0.641,0.0,19.9,43.4,4838127,0.5018,0.14917
flat_plate,0.671,0.026,2.084,0.016,0.543,0.855,0.0,0.0,24.06,25393,1.26936,0.01207
airfoil,2.05,0.21,0.139,1.786,1.774,0.031,0.0,9.0,64.64,7615240,0.01414,0.95845
suv,12.887,5.205,2.926,4.364,1.954,1.828,0.4,7.8,35.44,10201858,0.37322,0.17925
fsae,5.981,1.24,1.159,3.956,1.666,1.096,35.5,5.0,20.32,5302501,0.96145,-2.94838
wedge,4.969,0.941,1.375,1.247,0.602,0.48,0.0,54.5,37.16,3056631,0.8293,0.33813
flat_plate,4.811,0.038,0.82,0.02,1.584,1.258,0.0,0.0,20.7,27309,1.27527,-0.00625
fsae,6.366,0.933,1.379,4.324,1.571,1.295,21.6,0.1,24.15,6888166,0.86565,-2.43356
sedan,10.304,3.935,2.323,4.76,1.675,1.347,4.8,17.5,23.41,7350369,0.23555,0.1555
sphere,4.765,1.184,1.915,0.353,0.962,0.236,0.0,0.0,39.73,925111,0.10174,0.008
sedan,9.246,2.661,2.141,4.717,1.785,1.357,3.6,11.0,20.76,6459427,0.26671,0.12507
ahmed_body,4.053,0.708,0.106,1.095,0.379,0.31,0.0,16.8,56.24,4062190,0.2646,0.07363
sedan,12.596,4.294,2.103,4.832,1.848,1.341,4.5,15.5,31.66,10091103,0.24368,0.1813
suv,15.146,6.453,2.686,4.455,1.918,1.893,1.6,8.7,42.09,12368796,0.38248,0.1993
sphere,1.3,0.552,2.984,0.142,0.622,1.067,0.0,0.0,39.67,371579,0.31066,-0.00718
sedan,11.605,2.515,2.356,4.97,1.771,1.495,2.6,15.9,35.76,11723430,0.24879,0.21338
sedan,10.934,3.655,2.053,4.883,1.877,1.398,2.3,10.4,42.66,13740685,0.26492,0.21156
sphere,9.012,1.61,2.96,0.729,0.165,1.178,0.0,0.0,19.43,934332,0.10078,0.00875
fsae,7.22,1.516,1.482,4.036,1.508,1.258,22.2,4.1,39.72,10574533,0.91056,-2.41503
fsae,6.676,1.277,1.55,3.729,1.559,1.111,43.7,3.8,32.51,7996688,1.04389,-3.5203
sedan,9.524,2.669,1.894,4.489,1.785,1.432,3.4,14.7,46.7,13828252,0.24718,0.2475
suv,17.32,5.82,2.623,4.463,1.857,1.649,2.3,1.8,26.75,7875016,0.35132,0.13939
fsae,7.901,1.12,1.389,3.352,1.33,1.246,32.6,4.1,30.79,6807921,0.95776,-2.83957
airfoil,0.744,0.049,0.06,0.547,1.837,0.166,0.0,1.3,52.47,1893212,0.00606,0.15154
airfoil,2.806,0.188,0.172,0.679,0.365,0.158,0.0,1.9,78.14,3499806,0.00646,0.2211
suv,15.595,4.801,3.194,5.094,1.919,1.64,2.7,6.8,34.04,11437979,0.37035,0.15493
truck,32.878,36.928,8.155,12.318,2.568,3.723,0.0,3.3,21.28,17290702,0.67907,0.04856
flat_plate,5.909,0.007,0.818,0.021,1.909,0.802,0.0,0.0,29.12,40338,1.26409,0.00965
sedan,12.444,3.171,2.096,4.835,1.625,1.484,3.1,10.2,41.19,13136784,0.2644,0.20848
fsae,7.02,1.341,1.399,4.131,1.405,1.262,21.4,3.8,44.41,12101432,0.85465,-2.37445
fsae,6.093,0.967,1.508,4.272,1.649,1.076,20.4,0.4,22.28,6278375,0.91431,-2.39765
fsae,7.177,1.022,1.221,4.167,1.468,1.176,34.2,0.8,29.71,8166330,0.94636,-2.97097
airfoil,3.832,0.206,0.087,1.781,0.784,0.197,0.0,6.9,49.51,5816445,0.01071,0.76364
sphere,3.176,3.204,0.167,0.411,1.354,0.795,0.0,0.0,38.38,1040513,0.10028,0.00444
suv,16.776,4.032,2.747,4.562,2.031,1.65,1.3,6.5,35.07,10553387,0.37222,0.16529
sedan,9.748,3.901,2.307,4.867,1.669,1.491,1.3,13.5,34.21,10982854,0.26025,0.18829
suv,16.502,5.454,3.145,4.501,1.941,1.744,1.0,9.9,21.16,6282398,0.37738,0.12968
airfoil,3.15,0.095,0.066,1.179,1.571,0.115,0.0,12.0,72.17,5612693,0.04853,1.35128
cylinder,4.675,0.943,1.623,0.619,0.113,0.273,0.0,0.0,43.22,1764722,0.30011,0.01328
airfoil,3.462,0.085,0.173,1.284,1.395,0.08,0.0,9.3,63.87,5409570,0.01478,1.05605
fsae,5.733,1.117,1.292,3.334,1.554,1.018,26.1,3.8,15.13,3327402,0.93968,-2.76782
airfoil,2.09,0.429,0.078,1.37,1.423,0.035,0.0,6.5,27.51,2486062,0.00988,0.70221
cylinder,4.422,0.753,1.428,2.037,0.777,0.2,0.0,0.0,15.57,2092090,0.29637,-0.0012
fsae,7.444,1.171,1.035,3.85,1.647,1.011,31.4,0.8,47.57,12080772,0.89596,-2.68826
sedan,12.305,3.335,2.078,4.378,1.879,1.324,3.9,15.7,46.07,13304384,0.25003,0.26113
airfoil,3.477,0.184,0.176,1.122,1.129,0.106,0.0,11.5,41.98,3106963,0.03691,1.28182
sphere,9.85,2.891,2.701,0.708,0.293,0.961,0.0,0.0,20.02,934971,0.09893,0.00279
truck,54.203,38.972,8.527,11.773,2.407,3.866,0.0,2.3,21.41,16626644,0.69359,0.08897
ahmed_body,4.379,0.79,0.091,0.901,0.371,0.257,0.0,32.4,31.18,1853112,0.33492,0.08753
flat_plate,3.411,0.015,2.244,0.04,1.574,1.508,0.0,0.0,23.79,62770,1.26308,0.0063
fsae,7.162,1.503,1.235,3.655,1.365,1.122,30.6,0.6,31.08,7493232,0.928,-2.90088
cylinder,7.993,2.777,1.502,1.352,0.245,0.943,0.0,0.0,24.16,2154639,0.29704,0.00275
suv,12.107,6.976,2.716,4.466,2.028,1.872,0.0,0.4,33.87,9977798,0.36623,0.15486
suv,14.084,6.823,3.131,5.089,2.006,1.636,0.7,5.6,32.14,10788949,0.37813,0.15993
cylinder,5.262,2.76,0.675,0.806,0.329,0.559,0.0,0.0,34.09,1812437,0.29145,0.00277
sedan,9.896,3.499,2.094,4.346,1.693,1.45,3.9,12.4,21.96,6295393,0.25759,0.12943
suv,14.295,6.788,3.117,4.769,1.803,1.844,1.2,9.8,23.29,7326518,0.38106,0.13703
airfoil,1.748,0.438,0.087,0.5,1.265,0.061,0.0,5.4,59.25,1954156,0.00894,0.57951
cylinder,7.713,1.02,0.142,2.62,0.797,0.719,0.0,0.0,7.86,1358391,0.30465,0.02038
sphere,6.42,3.893,1.624,1.454,0.793,0.943,0.0,0.0,21.83,2093722,0.09847,-0.02085
airfoil,2.937,0.197,0.063,0.829,0.558,0.046,0.0,7.9,44.26,2420286,0.01221,0.86458
fsae,5.588,1.163,1.365,3.293,1.635,1.094,42.1,2.4,22.72,4935156,1.01385,-3.27185
cylinder,2.281,2.294,1.206,2.063,0.777,0.612,0.0,0.0,11.8,1605765,0.29838,0.00516
airfoil,2.745,0.069,0.168,1.577,1.653,0.177,0.0,11.1,43.1,4483423,0.02838,1.17995
fsae,7.523,0.882,1.183,3.836,1.535,1.204,37.8,3.7,39.1,9893641,0.98279,-3.05815
cylinder,5.139,1.068,1.491,1.406,0.902,0.421,0.0,0.0,48.73,4519418,0.2894,-0.02005
airfoil,2.133,0.236,0.154,0.599,0.49,0.163,0.0,0.3,49.38,1951096,0.00587,0.0263
fsae,7.453,1.334,1.308,3.485,1.369,1.167,19.4,0.1,31.59,7261949,0.87534,-2.30717
cylinder,5.387,0.69,0.339,1.386,0.967,0.112,0.0,0.0,9.72,888649,0.29787,-0.00678
sedan,11.941,4.367,2.071,4.022,1.732,1.439,0.7,14.0,37.92,10060306,0.24803,0.19252
wedge,1.397,1.173,1.147,1.51,1.321,0.845,0.0,23.4,19.66,1958219,0.54326,0.16415
airfoil,2.84,0.337,0.106,1.982,0.708,0.046,0.0,6.1,20.77,2715445,0.00939,0.62495
suv,13.732,5.594,2.605,4.784,1.91,1.799,2.5,3.4,29.43,9287145,0.36945,0.14762
wedge,1.291,1.901,0.437,1.401,0.634,0.754,0.0,25.7,37.71,3484941,0.54543,0.18978
ahmed_body,3.897,0.717,0.085,0.984,0.381,0.295,0.0,31.4,47.23,3065588,0.32196,0.10948
airfoil,3.861,0.334,0.169,1.107,1.889,0.111,0.0,3.8,54.46,3976730,0.00742,0.4023
cylinder,2.236,2.823,0.608,1.136,0.773,0.232,0.0,0.0,36.97,2770311,0.28942,-0.01609
sedan,8.26,4.386,2.192,4.803,1.793,1.472,0.2,10.1,44.35,14050993,0.26801,0.19466
fsae,8.326,1.369,1.35,3.309,1.57,1.049,16.4,1.5,49.83,10876482,0.84973,-2.16607
fsae,5.693,1.469,1.292,3.728,1.336,1.213,42.7,2.8,40.46,9949530,0.98691,-3.072
ahmed_body,3.747,0.843,0.094,1.048,0.408,0.291,0.0,21.0,42.59,2944216,0.27954,0.07942
sphere,0.837,3.884,2.686,0.172,0.504,0.39,0.0,0.0,8.94,101430,0.43824,0.01067
suv,14.019,4.069,3.029,4.709,2.055,1.751,2.6,3.6,23.25,7221916,0.38082,0.13421
wedge,1.405,0.988,0.754,0.607,0.868,0.967,0.0,12.0,48.59,1945523,0.41733,0.10835
fsae,7.987,1.119,1.437,3.382,1.617,1.134,31.6,0.3,25.09,5597255,0.95774,-2.61988
sedan,8.312,3.286,2.026,4.674,1.694,1.324,4.2,11.7,29.59,9122933,0.26136,0.14716
cylinder,5.302,2.963,1.143,2.213,0.429,0.784,0.0,0.0,13.38,1953162,0.30572,-0.03409
wedge,4.865,1.799,1.105,0.709,0.834,0.49,0.0,12.5,39.29,1837507,0.41548,0.10804
airfoil,0.576,0.073,0.038,1.391,0.719,0.068,0.0,2.8,47.26,4336323,0.00671,0.31197
sedan,12.346,3.5,1.825,4.896,1.869,1.473,0.5,18.0,44.08,14235863,0.24286,0.23597
truck,36.36,39.926,7.836,8.538,2.592,3.676,0.0,0.2,30.14,16974625,0.7163,0.07573
sedan,10.016,2.983,1.834,4.449,1.62,1.406,0.4,16.6,49.33,14476858,0.2469,0.24825
ahmed_body,4.43,0.839,0.114,0.929,0.383,0.312,0.0,38.1,45.08,2762488,0.33933,0.11281
airfoil,1.641,0.127,0.156,1.864,0.489,0.241,0.0,10.5,21.37,2627551,0.02017,1.0984
